Alkane,No. of C atom,Reaction Enthalpy (kcal/mol),Gibbs Free Energy Change (kcal/mol),Entropy (kcal/mol·K)
freq_C1.out,1,-191.5928388,-175.5952593,-0.053656145
freq_C10.out,10,-1461.436906,-1423.057669,-0.128724593
freq_C2.out,2,-334.8518804,-316.0283858,-0.063134311
freq_C3.out,3,-475.2626565,-453.8943709,-0.071669581
freq_C4.out,4,-616.1246119,-592.1996127,-0.080244841
freq_C5.out,5,-756.5924913,-730.0825405,-0.088914811
freq_C6.out,6,-898.83183,-870.0362498,-0.096580849
freq_C7.out,7,-1039.8538,-1008.544177,-0.105012991
freq_C8.out,8,-1180.171077,-1146.517466,-0.112874765
freq_C9.out,9,-1320.745634,-1284.92562,-0.120140915
