Alkane,No. of C atom,Reaction Enthalpy (kcal/mol),Gibbs Free Energy Change (kcal/mol),Entropy (kcal/mol·K)
freq_C1.out,1,-169.1317637,-153.5370453,-0.052304942
freq_C10.out,10,-1375.173489,-1340.343445,-0.11682054
freq_C2.out,2,-303.6580694,-285.6145691,-0.060518197
freq_C3.out,3,-436.6444668,-416.4370738,-0.067775928
freq_C4.out,4,-570.5282028,-548.2039803,-0.074875809
freq_C5.out,5,-703.6193943,-679.1143364,-0.082190367
freq_C6.out,6,-839.1930134,-812.5428881,-0.089384958
freq_C7.out,7,-973.2675123,-944.5375806,-0.096360663
freq_C8.out,8,-1107.251022,-1076.511565,-0.103100644
freq_C9.out,9,-1241.172409,-1208.401464,-0.109914288
