Alkane,No. of C atom,Reaction Enthalpy (kcal/mol),Gibbs Free Energy Change (kcal/mol),Entropy (kcal/mol·K)
freq_C1.out,1,-177.9890603,-162.3792817,-0.052355454
freq_C10.out,10,-1423.943841,-1388.978255,-0.117275149
freq_C2.out,2,-316.9402493,-298.8898463,-0.060541348
freq_C3.out,3,-454.2762288,-434.0726008,-0.0677633
freq_C4.out,4,-592.6143409,-570.2449378,-0.075027346
freq_C5.out,5,-730.1329257,-705.5845697,-0.08233559
freq_C6.out,6,-872.8686245,-847.3586839,-0.08556076
freq_C7.out,7,-1008.655283,-979.8262048,-0.096693202
freq_C8.out,8,-1147.103209,-1116.234485,-0.103534207
freq_C9.out,9,-1285.47458,-1252.585663,-0.110309968
