Alkane,No. of C atom,Reaction Enthalpy (kcal/mol),Gibbs Free Energy Change (kcal/mol),Entropy (kcal/mol·K)
freq_C1.out,1,-173.8650679,-158.2515242,-0.052368082
freq_C10.out,10,-1405.903571,-1371.260838,-0.116192296
freq_C2.out,2,-311.7865137,-293.7282669,-0.060567657
freq_C3.out,3,-447.7425999,-427.5301867,-0.067792766
freq_C4.out,4,-584.4975056,-562.1635567,-0.074908432
freq_C5.out,5,-720.4918698,-695.9849293,-0.082196681
freq_C6.out,6,-858.9241084,-832.3872485,-0.089005064
freq_C7.out,7,-995.805771,-967.1963211,-0.095956565
freq_C8.out,8,-1132.512986,-1101.924445,-0.102594469
freq_C9.out,9,-1269.176275,-1236.665119,-0.109042952
