Alkane,No. of C atom,Reaction Enthalpy (kcal/mol),Gibbs Free Energy Change (kcal/mol),Entropy (kcal/mol·K)
freq_C1.out,1,-183.220607,-167.1847494,-0.05378453
freq_C10.out,10,-1458.295908,-1419.475531,-0.130204181
freq_C2.out,2,-325.9013987,-307.0176631,-0.06333636
freq_C3.out,3,-466.607418,-445.1393583,-0.072004225
freq_C4.out,4,-608.1599475,-584.1433319,-0.080552123
freq_C5.out,5,-748.942523,-722.3378183,-0.089232617
freq_C6.out,6,-892.1253223,-863.0762282,-0.097431139
freq_C7.out,7,-1033.823434,-1002.279122,-0.10580014
freq_C8.out,8,-1175.313213,-1141.338944,-0.113950255
freq_C9.out,9,-1316.762831,-1280.451477,-0.121788877
